TSDate,Month,Year,serieNames,sales
31-01-1900,3,2014,serie_1,2711
31-01-1900,3,2014,serie_2,919
01-01-1900,4,2014,serie_2,753
01-01-1900,4,2014,serie_1,2291
02-01-1900,4,2014,serie_1,2262
02-01-1900,4,2014,serie_2,780
03-01-1900,4,2014,serie_1,2355
03-01-1900,4,2014,serie_2,846
04-01-1900,4,2014,serie_2,614
04-01-1900,4,2014,serie_1,1740
05-01-1900,4,2014,serie_1,0
05-01-1900,4,2014,serie_2,5
06-01-1900,4,2014,serie_2,820
06-01-1900,4,2014,serie_1,2448
07-01-1900,4,2014,serie_2,903
07-01-1900,4,2014,serie_1,2576
08-01-1900,4,2014,serie_1,2527
08-01-1900,4,2014,serie_2,830
09-01-1900,4,2014,serie_1,2223
09-01-1900,4,2014,serie_2,807
10-01-1900,4,2014,serie_1,2266
10-01-1900,4,2014,serie_2,812
11-01-1900,4,2014,serie_2,653
11-01-1900,4,2014,serie_1,1763
12-01-1900,4,2014,serie_1,0
12-01-1900,4,2014,serie_2,5
13-01-1900,4,2014,serie_2,766
13-01-1900,4,2014,serie_1,2254
14-01-1900,4,2014,serie_2,914
14-01-1900,4,2014,serie_1,2586
15-01-1900,4,2014,serie_1,2261
15-01-1900,4,2014,serie_2,830
16-01-1900,4,2014,serie_1,2189
16-01-1900,4,2014,serie_2,871
17-01-1900,4,2014,serie_2,805
17-01-1900,4,2014,serie_1,2309
18-01-1900,4,2014,serie_1,1738
18-01-1900,4,2014,serie_2,631
19-01-1900,4,2014,serie_2,5
19-01-1900,4,2014,serie_1,0
20-01-1900,4,2014,serie_2,5
20-01-1900,4,2014,serie_1,0
21-01-1900,4,2014,serie_1,2696
21-01-1900,4,2014,serie_2,1000
22-01-1900,4,2014,serie_2,946
22-01-1900,4,2014,serie_1,2467
23-01-1900,4,2014,serie_2,836
23-01-1900,4,2014,serie_1,2260
24-01-1900,4,2014,serie_2,895
24-01-1900,4,2014,serie_1,2392
25-01-1900,4,2014,serie_1,1233
25-01-1900,4,2014,serie_2,474
26-01-1900,4,2014,serie_2,5
26-01-1900,4,2014,serie_1,0
27-01-1900,4,2014,serie_1,2322
27-01-1900,4,2014,serie_2,838
28-01-1900,4,2014,serie_1,3116
28-01-1900,4,2014,serie_2,1134
29-01-1900,4,2014,serie_1,2645
29-01-1900,4,2014,serie_2,958
30-01-1900,4,2014,serie_1,2294
30-01-1900,4,2014,serie_2,822
01-01-1900,5,2014,serie_1,1754
01-01-1900,5,2014,serie_2,693
02-01-1900,5,2014,serie_2,735
02-01-1900,5,2014,serie_1,2322
03-01-1900,5,2014,serie_2,5
03-01-1900,5,2014,serie_1,0
04-01-1900,5,2014,serie_1,3155
04-01-1900,5,2014,serie_2,874
05-01-1900,5,2014,serie_1,2967
05-01-1900,5,2014,serie_2,943
06-01-1900,5,2014,serie_2,934
06-01-1900,5,2014,serie_1,2684
07-01-1900,5,2014,serie_1,2999
07-01-1900,5,2014,serie_2,992
08-01-1900,5,2014,serie_2,1012
08-01-1900,5,2014,serie_1,2954
09-01-1900,5,2014,serie_1,2324
09-01-1900,5,2014,serie_2,749
10-01-1900,5,2014,serie_2,320
10-01-1900,5,2014,serie_1,801
11-01-1900,5,2014,serie_1,2359
11-01-1900,5,2014,serie_2,728
12-01-1900,5,2014,serie_1,2992
12-01-1900,5,2014,serie_2,971
13-01-1900,5,2014,serie_2,836
13-01-1900,5,2014,serie_1,2543
14-01-1900,5,2014,serie_1,2697
14-01-1900,5,2014,serie_2,915
15-01-1900,5,2014,serie_1,2503
15-01-1900,5,2014,serie_2,876
16-01-1900,5,2014,serie_2,598
16-01-1900,5,2014,serie_1,1796
17-01-1900,5,2014,serie_2,5
17-01-1900,5,2014,serie_1,0
18-01-1900,5,2014,serie_2,742
18-01-1900,5,2014,serie_1,2073
19-01-1900,5,2014,serie_1,2553
19-01-1900,5,2014,serie_2,884
20-01-1900,5,2014,serie_2,826
20-01-1900,5,2014,serie_1,2480
21-01-1900,5,2014,serie_2,901
21-01-1900,5,2014,serie_1,2659
22-01-1900,5,2014,serie_1,2765
22-01-1900,5,2014,serie_2,888
23-01-1900,5,2014,serie_1,2302
23-01-1900,5,2014,serie_2,769
24-01-1900,5,2014,serie_1,0
24-01-1900,5,2014,serie_2,5
25-01-1900,5,2014,serie_1,3015
25-01-1900,5,2014,serie_2,1014
26-01-1900,5,2014,serie_2,1278
26-01-1900,5,2014,serie_1,3546
27-01-1900,5,2014,serie_1,3463
27-01-1900,5,2014,serie_2,1108
28-01-1900,5,2014,serie_2,797
28-01-1900,5,2014,serie_1,2481
29-01-1900,5,2014,serie_2,5
29-01-1900,5,2014,serie_1,0
30-01-1900,5,2014,serie_1,4475
30-01-1900,5,2014,serie_2,1362
